 31%|██████████████████████████████████████████████████▏                                                                                                               | 310/1000 [12:57<28:39,  2.49s/it]
Epoch 731, Loss: 25.2807, Recon Loss: 12.5168, KLD Loss: 12.7640
Epoch 741, Loss: 24.7652, Recon Loss: 12.1112, KLD Loss: 12.6540
Epoch 751, Loss: 26.0196, Recon Loss: 13.5492, KLD Loss: 12.4704
Epoch 761, Loss: 23.8815, Recon Loss: 11.3191, KLD Loss: 12.5624
Epoch 771, Loss: 34.7514, Recon Loss: 20.5094, KLD Loss: 14.2420
Epoch 781, Loss: 25.8348, Recon Loss: 13.3618, KLD Loss: 12.4730
Epoch 791, Loss: 24.3621, Recon Loss: 11.9685, KLD Loss: 12.3936
Epoch 801, Loss: 25.2442, Recon Loss: 12.9141, KLD Loss: 12.3301
Epoch 811, Loss: 24.0786, Recon Loss: 11.8098, KLD Loss: 12.2687
Epoch 821, Loss: 29.0797, Recon Loss: 16.5402, KLD Loss: 12.5395
Epoch 831, Loss: 63.8322, Recon Loss: 51.4614, KLD Loss: 12.3709
Epoch 841, Loss: 26.1862, Recon Loss: 13.7495, KLD Loss: 12.4367
Epoch 851, Loss: 28.1558, Recon Loss: 15.5328, KLD Loss: 12.6231
Epoch 861, Loss: 50.0938, Recon Loss: 37.6807, KLD Loss: 12.4131
Epoch 871, Loss: 24.7084, Recon Loss: 12.3163, KLD Loss: 12.3921
Epoch 881, Loss: 23.1482, Recon Loss: 10.8964, KLD Loss: 12.2519
Epoch 891, Loss: 27.1430, Recon Loss: 15.5482, KLD Loss: 11.5948
Epoch 901, Loss: 23.8580, Recon Loss: 11.7445, KLD Loss: 12.1135
Epoch 911, Loss: 23.4350, Recon Loss: 11.6381, KLD Loss: 11.7968
Epoch 921, Loss: 23.2740, Recon Loss: 11.4776, KLD Loss: 11.7964
Epoch 931, Loss: 22.1371, Recon Loss: 10.3828, KLD Loss: 11.7544
Epoch 941, Loss: 24.1862, Recon Loss: 12.1021, KLD Loss: 12.0841
Epoch 951, Loss: 22.2966, Recon Loss: 10.4392, KLD Loss: 11.8574
Epoch 961, Loss: 22.1605, Recon Loss: 10.6129, KLD Loss: 11.5476
Epoch 971, Loss: 22.4970, Recon Loss: 10.7190, KLD Loss: 11.7781
Epoch 981, Loss: 24.0352, Recon Loss: 12.5402, KLD Loss: 11.4950
Epoch 991, Loss: 22.2604, Recon Loss: 10.4701, KLD Loss: 11.7903
Epoch 1000, Loss: 21.7879, Recon Loss: 10.4722, KLD Loss: 11.3157
