 16%|█████████████████████████▊                                                                                                                                        | 319/2000 [11:29<59:53,  2.14s/it]
Epoch 580, Loss: 32.2673, Recon Loss: 19.7896, KLD Loss: 12.4777, Val Loss: 31.1747
Epoch 590, Loss: 28.5447, Recon Loss: 15.6275, KLD Loss: 12.9172, Val Loss: 34.3461
Epoch 600, Loss: 24.7684, Recon Loss: 12.4780, KLD Loss: 12.2903, Val Loss: 35.1705
Epoch 610, Loss: 27.4838, Recon Loss: 15.4551, KLD Loss: 12.0287, Val Loss: 29.5617
Epoch 620, Loss: 24.0213, Recon Loss: 11.7838, KLD Loss: 12.2376, Val Loss: 28.5780
Epoch 630, Loss: 25.5927, Recon Loss: 13.2683, KLD Loss: 12.3244, Val Loss: 31.4262
Epoch 640, Loss: 26.2213, Recon Loss: 14.1148, KLD Loss: 12.1065, Val Loss: 29.5768
Epoch 650, Loss: 26.3579, Recon Loss: 14.0753, KLD Loss: 12.2826, Val Loss: 30.3274
Epoch 660, Loss: 25.5706, Recon Loss: 13.4174, KLD Loss: 12.1532, Val Loss: 31.9593
Epoch 670, Loss: 49.3864, Recon Loss: 37.4406, KLD Loss: 11.9458, Val Loss: 37.4938
Epoch 680, Loss: 24.5036, Recon Loss: 12.4045, KLD Loss: 12.0990, Val Loss: 29.3970
Epoch 690, Loss: 24.8402, Recon Loss: 12.7122, KLD Loss: 12.1280, Val Loss: 35.2306
Epoch 700, Loss: 23.1173, Recon Loss: 11.1354, KLD Loss: 11.9819, Val Loss: 28.4197
Epoch 710, Loss: 23.7918, Recon Loss: 11.7275, KLD Loss: 12.0643, Val Loss: 28.7926
Epoch 720, Loss: 35.6612, Recon Loss: 23.7251, KLD Loss: 11.9361, Val Loss: 65.6470
Epoch 730, Loss: 24.7388, Recon Loss: 13.0613, KLD Loss: 11.6775, Val Loss: 28.4306
Epoch 740, Loss: 27.4952, Recon Loss: 16.1246, KLD Loss: 11.3706, Val Loss: 45.0465
Epoch 750, Loss: 22.9204, Recon Loss: 11.0930, KLD Loss: 11.8274, Val Loss: 28.6641
Epoch 760, Loss: 25.0194, Recon Loss: 13.3130, KLD Loss: 11.7064, Val Loss: 29.8454
Epoch 770, Loss: 23.0432, Recon Loss: 11.3491, KLD Loss: 11.6941, Val Loss: 30.0308
Epoch 780, Loss: 23.6944, Recon Loss: 11.6055, KLD Loss: 12.0889, Val Loss: 29.6207
Epoch 790, Loss: 22.7616, Recon Loss: 11.0771, KLD Loss: 11.6844, Val Loss: 29.3142
Epoch 800, Loss: 22.6117, Recon Loss: 10.8632, KLD Loss: 11.7486, Val Loss: 29.6611
Epoch 810, Loss: 22.3491, Recon Loss: 10.8618, KLD Loss: 11.4873, Val Loss: 28.0447
Epoch 820, Loss: 22.6363, Recon Loss: 11.1342, KLD Loss: 11.5021, Val Loss: 28.9888
Epoch 830, Loss: 25.3362, Recon Loss: 13.4018, KLD Loss: 11.9344, Val Loss: 31.0659
Epoch 840, Loss: 22.2079, Recon Loss: 10.5777, KLD Loss: 11.6302, Val Loss: 30.0447
Epoch 850, Loss: 22.0608, Recon Loss: 10.5885, KLD Loss: 11.4723, Val Loss: 31.8357
Epoch 860, Loss: 44.4923, Recon Loss: 32.6144, KLD Loss: 11.8779, Val Loss: 40.6955
