 16%|████████████████████████▊                                                                                                                                       | 310/2000 [46:01<4:08:12,  8.81s/it]
Epoch 551, Loss: 0.8846049308776855, MSE Loss: 0.884602920005196, KLD Loss: 2.009303946244089e-06
Epoch 561, Loss: 0.8839736988669947, MSE Loss: 0.8839715530997828, KLD Loss: 2.1426301253469366e-06
Epoch 571, Loss: 0.883687624805852, MSE Loss: 0.8836855417803714, KLD Loss: 2.07988839400442e-06
Epoch 581, Loss: 0.8844363658051742, MSE Loss: 0.8844342670942608, KLD Loss: 2.095573826840049e-06
Epoch 591, Loss: 0.8828473404834145, MSE Loss: 0.8828453013771459, KLD Loss: 2.0438118984824733e-06
Epoch 601, Loss: 0.8832327441165322, MSE Loss: 0.8832307301069561, KLD Loss: 2.017146662661904e-06
Epoch 611, Loss: 0.8816756198280736, MSE Loss: 0.8816738661966825, KLD Loss: 1.7520628477397718e-06
Epoch 621, Loss: 0.8833418833582025, MSE Loss: 0.8833403493228712, KLD Loss: 1.5403095044587787e-06
Epoch 631, Loss: 0.8822402201200786, MSE Loss: 0.8822386860847473, KLD Loss: 1.5277611581902755e-06
Epoch 641, Loss: 0.8822040024556612, MSE Loss: 0.882202619000485, KLD Loss: 1.377181002968236e-06
Epoch 651, Loss: 0.8823119903865614, MSE Loss: 0.8823104814479226, KLD Loss: 1.5120757253546464e-06
Epoch 661, Loss: 0.8809362900884528, MSE Loss: 0.8809349097703633, KLD Loss: 1.3850237193860506e-06
Epoch 671, Loss: 0.8808317090335646, MSE Loss: 0.8808303600863406, KLD Loss: 1.3567899402819182e-06
Epoch 681, Loss: 0.8826435522029275, MSE Loss: 0.8826422314894827, KLD Loss: 1.3144392716257197e-06
Epoch 691, Loss: 0.8814039763651396, MSE Loss: 0.8814026211437426, KLD Loss: 1.3536528537147923e-06
Epoch 701, Loss: 0.8808317404044302, MSE Loss: 0.8808304667472839, KLD Loss: 1.2689515164023952e-06
Epoch 711, Loss: 0.8811732499223006, MSE Loss: 0.8811720107731066, KLD Loss: 1.234443564164011e-06
Epoch 721, Loss: 0.8802900690781442, MSE Loss: 0.8802889805091055, KLD Loss: 1.0885690387926604e-06
Epoch 731, Loss: 0.8808359911567286, MSE Loss: 0.880834764555881, KLD Loss: 1.2266008477461965e-06
Epoch 741, Loss: 0.8819312672866019, MSE Loss: 0.8819299779440227, KLD Loss: 1.28777403580515e-06
Epoch 751, Loss: 0.8800810010809648, MSE Loss: 0.8800797713430304, KLD Loss: 1.2313064775968853e-06
Epoch 761, Loss: 0.8810884450611315, MSE Loss: 0.881087158855639, KLD Loss: 1.289342579088713e-06
Epoch 771, Loss: 0.8802803629323056, MSE Loss: 0.8802789418320907, KLD Loss: 1.4352171044600637e-06
Epoch 781, Loss: 0.8796493348322416, MSE Loss: 0.879647904320767, KLD Loss: 1.428942931325812e-06
Epoch 791, Loss: 0.8809787631034851, MSE Loss: 0.8809774518013, KLD Loss: 1.3097336417750308e-06
Epoch 801, Loss: 0.8812506230253923, MSE Loss: 0.8812491015384072, KLD Loss: 1.5073700955039577e-06
Epoch 811, Loss: 0.8798770026156777, MSE Loss: 0.8798755972008956, KLD Loss: 1.4038462387888056e-06
Epoch 821, Loss: 0.8793838745669315, MSE Loss: 0.8793824628779763, KLD Loss: 1.4226687581915604e-06
Epoch 831, Loss: 0.8798753556452299, MSE Loss: 0.8798737996502927, KLD Loss: 1.5512893074437192e-06
Epoch 841, Loss: 0.8804096830518622, MSE Loss: 0.8804080392185011, KLD Loss: 1.642264817890368e-06
Epoch 851, Loss: 0.8813980911907396, MSE Loss: 0.8813963563818681, KLD Loss: 1.7332403283370168e-06
Epoch 861, Loss: 0.8788353392952367, MSE Loss: 0.8788336735022696, KLD Loss: 1.6704985969945005e-06
Epoch 871, Loss: 0.8802766517588967, MSE Loss: 0.8802750957639593, KLD Loss: 1.5512893074437192e-06
Epoch 881, Loss: 0.8806992392790945, MSE Loss: 0.8806975923086467, KLD Loss: 1.6485389910246197e-06
Epoch 891, Loss: 0.8789289656438326, MSE Loss: 0.8789274661164534, KLD Loss: 1.4995273790861431e-06
Epoch 901, Loss: 0.8792142617075067, MSE Loss: 0.8792129566794947, KLD Loss: 1.306596555207905e-06
Epoch 911, Loss: 0.8793528205470035, MSE Loss: 0.8793514998335588, KLD Loss: 1.32541907461066e-06
Epoch 921, Loss: 0.8812038365163302, MSE Loss: 0.8812022836584794, KLD Loss: 1.5559949372944079e-06
Epoch 931, Loss: 0.8791170026126661, MSE Loss: 0.8791157446409527, KLD Loss: 1.254834626850329e-06
Epoch 941, Loss: 0.879649469726964, MSE Loss: 0.8796479607883253, KLD Loss: 1.5136442686382093e-06
Epoch 951, Loss: 0.8801073839789942, MSE Loss: 0.8801058593549227, KLD Loss: 1.537172417891653e-06
Epoch 961, Loss: 0.8788409295834994, MSE Loss: 0.8788395084832844, KLD Loss: 1.4195316716244345e-06
Epoch 971, Loss: 0.8795716637059262, MSE Loss: 0.8795703053474426, KLD Loss: 1.3646326566997328e-06
Epoch 981, Loss: 0.8803559447589674, MSE Loss: 0.8803544044494629, KLD Loss: 1.5465836775930303e-06
Epoch 991, Loss: 0.8803646156662389, MSE Loss: 0.8803631820176777, KLD Loss: 1.433648561176501e-06
Epoch 1001, Loss: 0.8793226951046994, MSE Loss: 0.8793211579322815, KLD Loss: 1.5324667880409642e-06
Epoch 1011, Loss: 0.8791668289586118, MSE Loss: 0.8791652917861938, KLD Loss: 1.5387409611752158e-06
