 21%|█████████████████████████████████                                                                                                                               | 310/1500 [42:51<2:42:23,  8.19s/it]
Epoch 561, Loss: 0.03478796956570525, MSE Loss: 0.034596019081379235, KLD Loss: 0.00019195048432601127
Epoch 571, Loss: 0.0348699483040132, MSE Loss: 0.03471375119529272, KLD Loss: 0.00015619710872047827
Epoch 581, Loss: 0.03479664243365589, MSE Loss: 0.03466070462998591, KLD Loss: 0.0001359378036699797
Epoch 591, Loss: 0.034733386024048456, MSE Loss: 0.03460554974643808, KLD Loss: 0.00012783627761037727
Epoch 601, Loss: 0.0346910061412736, MSE Loss: 0.034566002652833334, KLD Loss: 0.00012500348844026265
Epoch 611, Loss: 0.034760982386375726, MSE Loss: 0.034673884314926046, KLD Loss: 8.709807144968133e-05
Epoch 621, Loss: 0.03462027072122222, MSE Loss: 0.03455624749001704, KLD Loss: 6.402323120518734e-05
Epoch 631, Loss: 0.03479176191122908, MSE Loss: 0.034739808620590916, KLD Loss: 5.1953290638170745e-05
Epoch 641, Loss: 0.034733206817978306, MSE Loss: 0.03468592151215202, KLD Loss: 4.728530582628752e-05
Epoch 651, Loss: 0.03464564641839579, MSE Loss: 0.034600147683369484, KLD Loss: 4.5498735026309366e-05
Epoch 661, Loss: 0.03468439394706174, MSE Loss: 0.034657564014196396, KLD Loss: 2.6829932865343597e-05
Epoch 671, Loss: 0.03460618186938135, MSE Loss: 0.034589475314868126, KLD Loss: 1.6706554513228567e-05
Epoch 681, Loss: 0.03469594136664742, MSE Loss: 0.03468331145612817, KLD Loss: 1.262991051924856e-05
Epoch 691, Loss: 0.034639785360348854, MSE Loss: 0.03462880555736391, KLD Loss: 1.0979802984940379e-05
Epoch 701, Loss: 0.034647121241218166, MSE Loss: 0.034636779835349636, KLD Loss: 1.0341405868530273e-05
Epoch 711, Loss: 0.034705748683527896, MSE Loss: 0.03470073561919363, KLD Loss: 5.013064334267064e-06
Epoch 721, Loss: 0.03463890305475185, MSE Loss: 0.03463601066093696, KLD Loss: 2.8923938148900083e-06
Epoch 731, Loss: 0.03461689443180436, MSE Loss: 0.03461479415234767, KLD Loss: 2.100279456690738e-06
Epoch 741, Loss: 0.03464521036336297, MSE Loss: 0.03464378612606149, KLD Loss: 1.4242373014751234e-06
Epoch 751, Loss: 0.034717994104874764, MSE Loss: 0.03471654633942403, KLD Loss: 1.447765450728567e-06
Epoch 761, Loss: 0.03468792905148707, MSE Loss: 0.03468714948547514, KLD Loss: 7.795660119307669e-07
Epoch 771, Loss: 0.0346916049326721, MSE Loss: 0.03469106692232584, KLD Loss: 5.380103462620786e-07
Epoch 781, Loss: 0.03468107922296775, MSE Loss: 0.0346807215950991, KLD Loss: 3.5762786865234375e-07
Epoch 791, Loss: 0.034655536083798656, MSE Loss: 0.03465490396085538, KLD Loss: 6.321229432758532e-07
Epoch 801, Loss: 0.03463266593845267, MSE Loss: 0.034632223609246705, KLD Loss: 4.42329205964741e-07
Epoch 811, Loss: 0.03465782556878893, MSE Loss: 0.034657657734657586, KLD Loss: 1.678341313412315e-07
Epoch 821, Loss: 0.034575101968489196, MSE Loss: 0.03457483845321756, KLD Loss: 2.635152716385691e-07
Epoch 831, Loss: 0.03465716109464043, MSE Loss: 0.034657005808855355, KLD Loss: 1.552857850727282e-07
Epoch 841, Loss: 0.03462509497215873, MSE Loss: 0.03462467460255874, KLD Loss: 4.203695999948602e-07
Epoch 851, Loss: 0.03457755654266006, MSE Loss: 0.03457699343562126, KLD Loss: 5.631070387990851e-07
Epoch 861, Loss: 0.03459403408985389, MSE Loss: 0.03459364352257628, KLD Loss: 3.9056727760716487e-07
Epoch 871, Loss: 0.03465311268442556, MSE Loss: 0.03465291347942854, KLD Loss: 1.9920499701248972e-07
Epoch 881, Loss: 0.03468670990121992, MSE Loss: 0.034686565595237834, KLD Loss: 1.4430598208778783e-07
Epoch 891, Loss: 0.034686435602213204, MSE Loss: 0.034686168949855004, KLD Loss: 2.666523582056949e-07
Epoch 901, Loss: 0.034671854815985025, MSE Loss: 0.034669815709716396, KLD Loss: 2.0391062686317845e-06
Epoch 911, Loss: 0.03459254671868525, MSE Loss: 0.03459238359018376, KLD Loss: 1.6312850149054277e-07
Epoch 921, Loss: 0.03465253859758377, MSE Loss: 0.034652276650855414, KLD Loss: 2.6194672835500615e-07
Epoch 931, Loss: 0.03462253295277294, MSE Loss: 0.03462230865108339, KLD Loss: 2.243016895494963e-07
Epoch 941, Loss: 0.03463137639980567, MSE Loss: 0.034631075239495226, KLD Loss: 3.0116031044407893e-07
Epoch 951, Loss: 0.034712690075761395, MSE Loss: 0.034708934983140545, KLD Loss: 3.7550926208496094e-06
Epoch 961, Loss: 0.034669546704543266, MSE Loss: 0.03466937730186864, KLD Loss: 1.694026746247944e-07
Epoch 971, Loss: 0.03460563523204703, MSE Loss: 0.0346053999505545, KLD Loss: 2.3528149253443667e-07
Epoch 981, Loss: 0.03464208249198763, MSE Loss: 0.03464185034758166, KLD Loss: 2.3214440596731086e-07
Epoch 991, Loss: 0.0346515592383711, MSE Loss: 0.03465132395687856, KLD Loss: 2.3528149253443667e-07
Epoch 1001, Loss: 0.03462348447034234, MSE Loss: 0.0346166267991066, KLD Loss: 6.857671235737048e-06
Epoch 1011, Loss: 0.03468578583315799, MSE Loss: 0.03468551133808337, KLD Loss: 2.744950746235095e-07
Epoch 1021, Loss: 0.034674886614084244, MSE Loss: 0.03467471093723649, KLD Loss: 1.7567684775904604e-07
Epoch 1031, Loss: 0.03467484034205738, MSE Loss: 0.03467456584698275, KLD Loss: 2.744950746235095e-07
Epoch 1041, Loss: 0.034622955283052044, MSE Loss: 0.03462258353829384, KLD Loss: 3.7174475820440993e-07
Epoch 1051, Loss: 0.03468523449019382, MSE Loss: 0.03467984183838493, KLD Loss: 5.392651808889289e-06
Epoch 1061, Loss: 0.034637577635677236, MSE Loss: 0.03463743176115187, KLD Loss: 1.4587452537135073e-07
Epoch 1071, Loss: 0.03467145385710817, MSE Loss: 0.03467123739813503, KLD Loss: 2.1645897313168175e-07
Epoch 1081, Loss: 0.03472613837373884, MSE Loss: 0.03472585917303437, KLD Loss: 2.792007044741982e-07
Epoch 1091, Loss: 0.03469480809412504, MSE Loss: 0.03469440811558774, KLD Loss: 3.9997853730854234e-07
Epoch 1101, Loss: 0.0346140177234223, MSE Loss: 0.03460863918850297, KLD Loss: 5.378534919337223e-06
Epoch 1111, Loss: 0.03468083629482671, MSE Loss: 0.03468064022691626, KLD Loss: 1.9606791044536389e-07
Epoch 1121, Loss: 0.03459096209783303, MSE Loss: 0.034590835045827065, KLD Loss: 1.2705200596859582e-07
Epoch 1131, Loss: 0.03462112342056475, MSE Loss: 0.03462091009867819, KLD Loss: 2.1332188656455592e-07
Epoch 1141, Loss: 0.034661371260881424, MSE Loss: 0.03466101677009934, KLD Loss: 3.5449078208521794e-07
Epoch 1151, Loss: 0.03465630721889044, MSE Loss: 0.03464996402985171, KLD Loss: 6.343189038728413e-06
Epoch 1161, Loss: 0.03463915911944289, MSE Loss: 0.034638912858147373, KLD Loss: 2.4626129551937707e-07
Epoch 1171, Loss: 0.034620935783574454, MSE Loss: 0.034620716187514756, KLD Loss: 2.1959605969880756e-07
Epoch 1181, Loss: 0.03464932524059948, MSE Loss: 0.03464910878162635, KLD Loss: 2.1645897313168175e-07
Epoch 1191, Loss: 0.0346477731670204, MSE Loss: 0.03464740299080547, KLD Loss: 3.70176214920847e-07
Epoch 1201, Loss: 0.0346549361159927, MSE Loss: 0.034648025114285316, KLD Loss: 6.911001707378187e-06
Epoch 1211, Loss: 0.034679287554402104, MSE Loss: 0.03467892051527375, KLD Loss: 3.670391283537212e-07
Epoch 1221, Loss: 0.03471040411999351, MSE Loss: 0.03471025197129501, KLD Loss: 1.521486985056024e-07
Epoch 1231, Loss: 0.03454815635555669, MSE Loss: 0.0345478693121358, KLD Loss: 2.8704342089201275e-07
Epoch 1241, Loss: 0.034650454199627825, MSE Loss: 0.03465013892242783, KLD Loss: 3.1527719999614516e-07
Epoch 1251, Loss: 0.03461853336346777, MSE Loss: 0.03461302150236933, KLD Loss: 5.51186109844007e-06
Epoch 1261, Loss: 0.034693496399804166, MSE Loss: 0.03469325170705193, KLD Loss: 2.4469275223581416e-07
Epoch 1271, Loss: 0.03467435566218276, MSE Loss: 0.03467416273135888, KLD Loss: 1.9293082387823808e-07
Epoch 1281, Loss: 0.03464539054977266, MSE Loss: 0.03464516467953983, KLD Loss: 2.258702328330592e-07
Epoch 1291, Loss: 0.03451788994042497, MSE Loss: 0.034517513490036913, KLD Loss: 3.764503880550987e-07
Epoch 1301, Loss: 0.03460962541009251, MSE Loss: 0.03460224384540006, KLD Loss: 7.38156469244706e-06
Epoch 1311, Loss: 0.034668847134238796, MSE Loss: 0.03466851146597611, KLD Loss: 3.35668262682463e-07
Epoch 1321, Loss: 0.034629560026683305, MSE Loss: 0.03462931533393107, KLD Loss: 2.4469275223581416e-07
Epoch 1331, Loss: 0.034623261148992335, MSE Loss: 0.03462300547643712, KLD Loss: 2.5567255522075454e-07
Epoch 1341, Loss: 0.034668684005737305, MSE Loss: 0.03466844245007163, KLD Loss: 2.415556656686883e-07
Epoch 1351, Loss: 0.034639601644716765, MSE Loss: 0.03463303101690192, KLD Loss: 6.570627814845035e-06
Epoch 1361, Loss: 0.034624793223644555, MSE Loss: 0.03462464421203262, KLD Loss: 1.4901161193847656e-07
Epoch 1371, Loss: 0.03457983151862496, MSE Loss: 0.03457965897886377, KLD Loss: 1.7253976119192024e-07
Epoch 1381, Loss: 0.034644642158558496, MSE Loss: 0.034644471187340584, KLD Loss: 1.709712179083573e-07
Epoch 1391, Loss: 0.03459107169979497, MSE Loss: 0.03459082386995617, KLD Loss: 2.4782983880293997e-07
Epoch 1401, Loss: 0.03463985182737049, MSE Loss: 0.03463345687640341, KLD Loss: 6.3949509670859885e-06
Epoch 1411, Loss: 0.0346863228631647, MSE Loss: 0.03468606875915276, KLD Loss: 2.5410401193719163e-07
Epoch 1421, Loss: 0.03461527255804915, MSE Loss: 0.034615092175571543, KLD Loss: 1.8038247760973478e-07
Epoch 1431, Loss: 0.034674074892935, MSE Loss: 0.03467390549026037, KLD Loss: 1.694026746247944e-07
Epoch 1441, Loss: 0.03465087123607334, MSE Loss: 0.03465044459230021, KLD Loss: 4.2664377312911184e-07
Epoch 1451, Loss: 0.03471943206692997, MSE Loss: 0.034711972075073344, KLD Loss: 7.459991856625206e-06
Epoch 1461, Loss: 0.03462488694410575, MSE Loss: 0.034624659505329634, KLD Loss: 2.2743877611662213e-07
Epoch 1471, Loss: 0.034649775412521865, MSE Loss: 0.03464956836480843, KLD Loss: 2.0704771343030428e-07
Epoch 1481, Loss: 0.034688341970506464, MSE Loss: 0.03468814903968259, KLD Loss: 1.9293082387823808e-07
Epoch 1491, Loss: 0.034687681809851996, MSE Loss: 0.03468727555714155, KLD Loss: 4.06252710442794e-07
