Physics,Sections,CFG,mse,var_diff,FID
cosinesched,sec25,1,2469497792.0,57.91845936745142,94.95447444456092
nophys,sec15,4,1249915326.9,58.784519833475386,101.14536823364338
nophys,sec20,8,1052559803.8,125.1325289705782,107.09431854756762
cosinesched,seccos30,2,1984730244.6,61.16577655229979,106.7656731862714
nophys,sec25,6,2643270866.65625,58.17967308096896,96.9858252760151
nophys,seccos15,2,30033524.8,49.406542125850095,105.10693813521227
cosinesched,sec30,5,2126832739.2125,58.39208216110278,104.35728633539368
cosinesched,sec20,1,2352563793.0,61.53469862528474,97.93497078844534
cosinesched,seccos20,7,3596943287.65,61.24969258172208,102.59483339606886
cosinesched,seccos15,5,3366818472.3,40.55918497058368,98.4324634152492
nophys,seccos10,8,125886875.35625,42.917744363591055,104.24822696184738
nophys,sec10,3,40705195.7,55.8430043058966,102.57644153713184
cosinesched,seccos30,7,3028279433.475,34.38971177945909,102.3907827738587
nophys,seccos10,4,910427479.2625,24.822898312752805,100.69628479919764
nophys,seccos20,1,78924026.4,47.72948180528651,103.20618483920984
nophys,sec15,8,216421269.0,223.75991826868017,106.40836446352836
cosinesched,seccos30,8,2789905850.16875,33.66167641030673,103.35515743965252
cosinesched,sec10,5,6760848786.2,51.256079176429225,107.56445788158072
nophys,sec15,2,181650830.934375,45.88940668903539,106.06471647461562
cosinesched,sec10,3,5951655716.0,66.22168132595316,109.49203771870182
nophys,seccos20,4,636142171.425,53.275938878550825,99.79632351145708
nophys,seccos15,3,154533075.95,53.05940533088659,106.31861740261252
nophys,seccos10,6,1021646977.65,32.65328380981855,100.038390685376
nophys,sec20,4,651394934.725,59.11287011269485,113.43027407581236
cosinesched,sec25,2,3020635708.8,56.86789894189707,108.97524534415682
cosinesched,seccos10,3,3617827982.2,51.17462027321913,111.89467847440838
nophys,seccos15,7,492333197.525,74.21221864063882,105.70278602215176
nophys,sec10,8,540955126.4,183.4598649431736,116.00792662155814
nophys,seccos30,2,126191792.0,38.74994370760017,104.17853050101726
nophys,seccos10,7,445640102.4875,34.02060375539024,100.30211409605532
cosinesched,sec30,7,2449635881.9125,61.871654733180506,103.5625611963534
nophys,seccos15,8,297546983.40625,93.95982170441457,104.55340813415953
cosinesched,seccos20,4,3049046976.35,44.52119712835067,103.13089245962492
nophys,seccos30,8,596596265.7125,40.12585031259333,103.9886026436169
cosinesched,sec20,2,1965470504.2,69.83640707079353,98.80651205049564
nophys,sec30,1,96127985.6,52.31679348835429,108.09853553114718
nophys,sec15,3,704818765.7984375,50.47768751313866,101.94960165134844
cosinesched,seccos15,4,3179370939.8,49.84582681107024,103.1386327455194
cosinesched,sec30,6,2472074856.7,49.05900597306682,100.85473159661728
cosinesched,sec25,5,4518797187.875,57.88466908052849,105.49807186268936
