Physics,Sections,CFG,FID
nophys,1x9plus6,7,26.56171046752478
phys10th,2x9plus7,3,18.451130473741483
nophys,2x9plus7,3,19.964220987854354
phys10th,45,6,35.04932305997314
nophys,1x9plus6,5,30.916794536432967
phys10th_beam,1x9plus6,3,15.991472158410966
phys10th_beam,25,1,10.955231717025695
phys10th,15,5,36.846058590423105
nophys,45,5,23.022682239508875
phys10th_beam,45,6,26.455873435364346
nophys,15,5,21.478028385120002
phys10th_beam,45,7,27.298572384240362
phys10th,1x9plus6,3,20.28297761360858
phys10th_beam,45,3,14.408290555940955
nophys,1x9plus6,6,23.969929644998228
phys10th_beam,25,7,26.526512223178702
phys10th,2x9plus7,6,26.150152631770368
phys10th,25,5,35.06427082386294
nophys,2x9plus7,3,15.221395032700377
nophys,45,1,9.87699470819456
nophys,45,1,12.350885499162617
nophys,1x9plus6,1,10.530826031415884
phys10th_beam,1x9plus6,5,21.399008805054542
phys10th_beam,45,3,15.396956251758471
phys10th,2x9plus7,1,12.977294771409898
phys10th_beam,1x9plus6,3,15.83055787297973
phys10th,25,3,13.716373674801668
phys10th_beam,25,3,19.885904554331667
phys10th_beam,45,6,19.015326518296515
nophys,15,7,34.38012065706766
nophys,2x9plus7,6,37.632286982279076
phys10th_beam,45,7,27.492621243591678
phys10th_beam,1x9plus6,7,25.95830715862534
phys10th_beam,2x9plus7,6,29.518357008410202
nophys,25,3,15.091368644819894
nophys,45,5,22.625401635098605
phys10th_beam,45,3,16.833438590758124
phys10th,45,7,38.12956133929798
phys10th,45,1,12.064177224643277
phys10th,2x9plus7,7,29.311223995618313
phys10th,1x9plus6,6,18.997053509300606
nophys,45,5,19.20538237237249
phys10th,1x9plus6,3,12.845859663348843
nophys,45,3,13.51876982510486
nophys,15,1,11.330549280513635
phys10th_beam,2x9plus7,1,12.697004680742356
nophys,1x9plus6,6,36.03485216503487
nophys,25,7,22.85068639237257
phys10th_beam,15,1,11.220128503977314
phys10th,45,5,18.415345807489498
phys10th,45,7,25.11072629488067
phys10th_beam,15,6,21.866358979520175
phys10th,45,3,21.145525536421417
nophys,25,7,30.89770635419586
phys10th,25,6,21.87717597099468
phys10th_beam,2x9plus7,7,34.96593036280346
phys10th_beam,2x9plus7,3,18.787785166264403
phys10th,15,1,10.068655808969485
phys10th_beam,1x9plus6,6,23.992463173818855
phys10th_beam,25,1,11.785746378199555
phys10th,25,1,10.113738089199813
phys10th_beam,45,1,11.596407712048926
nophys,25,6,29.974304040383963
