Physics,Sections,CFG,mse,var_diff
phys,sec18plus7,8,tensor(35157.1680),85.57821159973145
phys,sec25,8,tensor(44823.7734),55.13377655029295
phys,sec18plus7,6,tensor(38497.3047),48.501931707763674
nophys,sec20,6,tensor(58926.6445),10.225929290771486
phys,sec18plus7,3,tensor(46902.3945),46.317647186279274
nophys,sec15,4,tensor(53286.6406),3.0309278594970657
nophys,sec18plus7,5,tensor(51933.1719),21.005058410644533
nophys,sec25,8,tensor(50392.9961),49.29877635192871
phys,sec20,6,tensor(43224.2969),26.73693063354492
nophys,secincr20,4,tensor(46189.3086),11.52208110961914
phys,sec20,4,tensor(47949.7578),22.245704205322266
phys,sec15,2,tensor(43307.3984),17.785928167724602
phys,sec9plus6,4,tensor(39063.2109),52.73525537414551
phys,sec25,4,tensor(46367.1172),32.01179471740723
phys,secincr20,6,tensor(41221.4453),59.42375369873045
phys,sec15,3,tensor(51587.5469),13.774748678588868
nophys,sec20,4,tensor(58840.5586),4.429922824096675
nophys,sec18plus7,4,tensor(49166.7266),9.593142541503912
nophys,secincr20,1,tensor(54448.1641),8.531965313720704
phys,sec25,2,tensor(45596.7969),17.78237866821289
phys,sec18plus7,2,tensor(44742.5625),24.088089672851556
nophys,sec25,1,tensor(52354.2344),4.2557467742919926
nophys,sec18plus7,3,tensor(51344.0039),6.465168823242184
phys,sec18plus7,7,tensor(38010.2383),79.61394959716795
nophys,sec15,8,tensor(56055.4219),25.833745617675763
nophys,sec15,6,tensor(54315.2695),18.26124521789551
phys,sec15,1,tensor(46752.6211),17.16508279418945
phys,sec9plus6,2,tensor(51474.5234),27.7714533630371
phys,sec18plus7,1,tensor(34004.6914),43.353961203002925
nophys,secincr20,3,tensor(47583.4336),0.7341312500000008
nophys,sec9plus6,8,tensor(52412.4727),35.218564108276354
phys,secincr20,4,tensor(45235.5312),34.858929263305654
phys,sec9plus6,5,tensor(40802.6328),65.29396910095213
nophys,sec15,7,tensor(55573.6836),22.496615765380856
nophys,sec20,8,tensor(60675.5625),25.024608489990232
phys,sec20,8,tensor(48940.1719),44.84844238281249
phys,sec20,2,tensor(50966.9922),14.690484823608397
nophys,sec18plus7,7,tensor(49128.8203),19.806380764770505
nophys,sec25,7,tensor(48251.7305),35.67188646850586
phys,sec15,5,tensor(47872.7383),45.54780625915528
phys,secincr20,7,tensor(42989.8984),80.52411685791016
phys,sec15,6,tensor(51190.8828),18.18177755126953
nophys,sec25,3,tensor(47724.6133),8.386606835937503
nophys,sec15,5,tensor(54033.7539),5.650356353759758
phys,sec20,7,tensor(46305.1797),29.70390683593749
phys,sec9plus6,8,tensor(40387.0195),83.43993045043943
nophys,sec20,1,tensor(52972.5938),4.122295968627935
phys,secincr20,3,tensor(31783.5078),22.56404735717773
nophys,sec9plus6,1,tensor(52810.4023),5.913075564575202
phys,sec15,4,tensor(41249.7695),27.175358728027337
nophys,sec25,6,tensor(46016.2969),35.110633795165995
nophys,sec20,3,tensor(57005.6953),9.249886816406235
phys,sec15,8,tensor(48457.3867),51.47933197326658
phys,secincr20,2,tensor(40015.2539),38.47929628906249
phys,secincr20,1,tensor(43969.8281),22.038273095703115
nophys,sec18plus7,8,tensor(49926.7617),35.686475149536136
nophys,secincr20,5,tensor(45369.7266),20.627712429809566
nophys,sec20,7,tensor(60115.4297),24.659128060913094
phys,sec25,1,tensor(43033.3672),19.430516577148442
phys,sec20,5,tensor(46825.5195),30.305633078002916
phys,sec18plus7,4,tensor(39466.0508),46.564637258911105
nophys,sec25,4,tensor(50985.7734),26.29872184753417
nophys,secincr20,8,tensor(43943.8398),40.42715974121094
nophys,sec9plus6,7,tensor(52775.6250),26.382371975708015
nophys,sec9plus6,4,tensor(51812.8164),3.8649676788330005
nophys,sec25,5,tensor(49971.2695),18.11140863342285
phys,sec9plus6,1,tensor(36197.3633),32.37403894042967
phys,sec9plus6,6,tensor(40302.9258),60.413836959838875
nophys,sec15,2,tensor(54309.6250),12.928142089843753
nophys,sec18plus7,2,tensor(53619.8594),10.619806549072273
nophys,secincr20,6,tensor(43831.1172),31.514457168579096
phys,sec25,5,tensor(46725.3047),37.94987643432616
phys,secincr20,8,tensor(42453.8164),79.17186990356444
nophys,secincr20,2,tensor(49093.0312),3.641077731323243
phys,sec9plus6,3,tensor(36279.3398),33.14163568725586
nophys,sec9plus6,6,tensor(51586.3867),15.626987423706051
nophys,sec15,1,tensor(52419.0859),5.519812377929689
nophys,sec20,2,tensor(56348.2109),14.097060025024419
nophys,sec15,3,tensor(52503.8594),0.03583693237304075
nophys,sec18plus7,1,tensor(53354.5000),7.1598178649902415
nophys,sec18plus7,6,tensor(48593.7148),19.83549017333984
phys,sec20,3,tensor(3807.0562),58.890414605384954
nophys,sec9plus6,3,tensor(2840.2852),37.47471697456585
phys,sec20,1,tensor(8883.4395),92.4653790595878
nophys,sec25,2,tensor(4280.8467),60.34475705465738
phys,sec25,3,tensor(9607.1104),71.92066661321535
nophys,sec9plus6,2,tensor(3323.7285),51.58257820227898
nophys,sec20,5,tensor(679.7839),26.73905374764502
phys,sec25,6,tensor(5119.4028),39.80549252346028
phys,sec15,7,tensor(3117.5564),41.27489239789205
phys,sec18plus7,5,tensor(1802.4711),44.427592400261275
phys,sec9plus6,7,tensor(1823.9728),44.110263079317946
phys,secincr20,5,tensor(3625.4160),77.31224294564764
phys,sec25,7,tensor(3388.7788),37.32881871246884
nophys,sec9plus6,5,tensor(504.2472),32.45998020640814
nophys,secincr20,7,tensor(7057.0303),81.14791852958199
phys,sec18plus7,8,tensor(686.5188),29.157917091023275
phys,sec25,8,tensor(7257.7275),54.30145052679873
phys,sec18plus7,6,tensor(811.5485),33.21329224064964
nophys,sec20,6,tensor(443.7137),21.796173527855423
phys,sec18plus7,3,tensor(5720.7031),88.61160873800753
nophys,sec15,4,tensor(4716.5732),48.10825871885046
nophys,sec18plus7,5,tensor(815.2148),30.903521644627236
nophys,sec25,8,tensor(5723.5571),70.61511417311064
phys,sec20,6,tensor(2411.9243),60.14502061163073
nophys,secincr20,4,tensor(12663.0674),72.30895830223533
phys,sec20,4,tensor(3489.5845),51.106637518587625
phys,sec15,2,tensor(9000.8213),126.88790232615885
phys,sec9plus6,4,tensor(8097.5420),82.05116374926584
phys,sec25,4,tensor(8476.2051),61.62433998269965
phys,secincr20,6,tensor(7298.4951),82.84268590759504
phys,sec15,3,tensor(8321.7520),80.38776561350984
nophys,sec20,4,tensor(1787.2651),37.952321609821176
nophys,sec18plus7,4,tensor(1514.6592),32.6343834689139
nophys,secincr20,1,tensor(3903.9102),55.470208374175954
phys,sec25,2,tensor(7220.4658),86.34116895771783
phys,sec18plus7,2,tensor(7362.1982),103.29192715493505
nophys,sec25,1,tensor(2635.6982),43.559706345144676
nophys,sec18plus7,3,tensor(2260.3452),51.79785841338487
phys,sec18plus7,7,tensor(869.5438),34.596980389233984
nophys,sec15,8,tensor(3539.4468),49.53384840463608
nophys,sec15,6,tensor(6844.6963),60.57657495234124
phys,sec15,1,tensor(19811.0547),151.34800592475713
phys,sec9plus6,2,tensor(8409.5391),96.7491249043164
phys,sec18plus7,1,tensor(14673.5811),161.08844430741544
nophys,secincr20,3,tensor(5529.1904),56.90462841842632
nophys,sec9plus6,8,tensor(36.9072),19.044385523162546
phys,secincr20,4,tensor(4630.5420),80.72465247583607
phys,sec9plus6,5,tensor(3085.0293),54.673378591287225
nophys,sec15,7,tensor(2103.3052),57.273611384101436
nophys,sec20,8,tensor(148.3036),20.692549839361362
phys,sec20,8,tensor(2114.5669),40.08473259585444
phys,sec20,2,tensor(3143.1548),74.17714378804973
nophys,sec18plus7,7,tensor(76.2888),19.463295335622693
nophys,sec25,7,tensor(16397.0703),58.93296998265087
phys,sec15,5,tensor(5826.6885),49.76610653840318
phys,secincr20,7,tensor(8527.4658),86.4847421705698
phys,sec15,6,tensor(3766.1780),44.98731158922634
nophys,sec25,3,tensor(10812.1543),45.172534191126815
nophys,sec15,5,tensor(3323.2261),60.82723788666954
phys,sec20,7,tensor(1577.8889),41.47432420532786
phys,sec9plus6,8,tensor(883.8876),40.26712753632722
nophys,sec20,1,tensor(2201.7473),53.220583107410896
phys,secincr20,3,tensor(3735.7842),81.75876962200196
nophys,sec9plus6,1,tensor(4545.3657),69.68821512942809
phys,sec15,4,tensor(6740.0298),70.0960374901266
nophys,sec25,6,tensor(7351.9458),78.59370874216636
nophys,sec20,3,tensor(3713.7695),27.3992060701433
phys,sec15,8,tensor(2781.2612),41.5829385283191
phys,secincr20,2,tensor(4399.0181),90.60940709366294
phys,secincr20,1,tensor(9586.1758),119.04072256854852
nophys,sec18plus7,8,tensor(35.7707),16.92342328091852
nophys,secincr20,5,tensor(17820.7422),64.84057824366393
nophys,sec20,7,tensor(74.8035),14.642233877567293
phys,sec25,1,tensor(8989.6729),108.14732273138348
phys,sec20,5,tensor(4928.7563),74.72951816112388
phys,sec18plus7,4,tensor(2699.6187),62.89092617201736
nophys,sec25,4,tensor(7822.8672),62.620148855365855
nophys,secincr20,8,tensor(5985.0635),102.40270118443283
nophys,sec9plus6,7,tensor(275.7427),30.415117364682434
nophys,sec9plus6,4,tensor(1936.5682),47.43529460609878
nophys,sec25,5,tensor(15181.4385),40.9812701255865
phys,sec9plus6,1,tensor(15106.9424),178.04801115379982
phys,sec9plus6,6,tensor(1220.9076),53.24323518332814
nophys,sec15,2,tensor(3749.6782),42.19259511366927
nophys,sec18plus7,2,tensor(1596.4989),41.133416731523404
nophys,secincr20,6,tensor(8739.3740),78.61651308186
phys,sec25,5,tensor(9508.5986),70.69349507717529
phys,secincr20,8,tensor(3781.3276),78.8729391864616
nophys,secincr20,2,tensor(7383.1797),52.80421227229132
phys,sec9plus6,3,tensor(7300.9434),102.81467058022088
nophys,sec9plus6,6,tensor(799.3242),40.918416663141656
nophys,sec15,1,tensor(4692.4253),50.194330738962115
nophys,sec20,2,tensor(3471.6863),54.22862828964494
nophys,sec15,3,tensor(6289.9463),64.247038040892
nophys,sec18plus7,1,tensor(2785.3101),54.92979424161645
nophys,sec18plus7,6,tensor(142.2147),30.500036701169027
phys,sec20,3,tensor(207877.9531),417.76086043692584
nophys,sec9plus6,3,tensor(201460.8594),73.77977556689743
phys,sec20,1,tensor(122023.4531),349.4331097352691
nophys,sec25,2,tensor(91862.6797),77.6680703212146
phys,sec25,3,tensor(327967.4062),438.72357153802255
nophys,sec9plus6,2,tensor(71539.6016),89.01427074739777
nophys,sec20,5,tensor(12972.6992),147.8839944165871
phys,sec25,6,tensor(1624034.3750),179.92540119969567
phys,sec15,7,tensor(674553.7500),122.4287486842286
phys,sec18plus7,5,tensor(2523925.5000),313.9853638751627
phys,sec9plus6,7,tensor(1569006.7500),195.17814138607437
