Physics,Sections,CFG,mse,var_diff,FID_mean,FID_var
phys,sec9plus6,2,11620.6435546875,19.601434293517723,113.20227947622584,2240.3578954630448
phys,sec18plus7,6,5878.888671875,83.98114499699771,109.28342619605948,2266.2956392413435
phys,sec9plus6,8,30530.365234375,148.9765514051563,111.38177930549332,2068.9596646715563
phys,secincr20,7,166167.34375,67.25166737735947,117.91728336246888,1915.764668094398
phys,sec25,8,34550.79296875,143.42833587966538,114.21304368165934,1373.8946478316248
phys,sec15,4,55337.91796875,23.98800119845504,122.44187966927807,1427.3882559784543
phys,sec9plus6,5,8737.9033203125,35.53764545782353,106.77189759637554,2076.5806220069917
phys,sec18plus7,3,1512.994873046875,29.267389491031505,109.6036860815555,2150.1591468367787
phys,secincr20,6,183084.0625,114.007898858345,117.33045016327564,1705.5229385855055
phys,sec9plus6,4,1934.433837890625,32.74044997459636,104.67349274457642,1929.8281691909942
phys,secincr20,1,51792.20703125,21.991180595086544,118.22701224346034,2243.882720260077
phys,sec20,2,9852.9189453125,28.001684904639152,124.58676238894134,1664.387640965484
phys,sec20,7,20793.1171875,95.77929174764898,121.57406377963787,2307.17807267842
phys,sec15,7,65799.7734375,59.29947384036318,118.34456244937246,2095.3009029773457
phys,sec15,2,2634.000732421875,10.732124501615427,123.19068232933527,1233.4354906497792
phys,sec25,5,96814.59375,55.25319351252513,111.57401646982478,1515.1750902609056
phys,secincr20,4,79725.3984375,70.30183842609259,124.25829956537356,1518.1670662137803
phys,sec18plus7,7,8761.84375,132.87265040598757,114.41174220294765,2896.911563581152
phys,sec9plus6,7,6014.625,109.93387031663303,107.24705017636556,2167.3024526104746
phys,secincr20,8,161371.09375,164.91952632614274,125.64303946279219,1683.539641803167
phys,secincr20,3,23770.845703125,45.63847180126476,123.15281949528053,1303.2258664278634
phys,sec25,7,37471.24609375,161.0268310538225,112.00540572765946,1617.8693039803238
phys,sec15,3,5787.4541015625,25.722396503500388,122.65323342871923,1432.2027156721197
phys,sec9plus6,1,57368.9140625,13.763016711557263,111.08039989277263,2434.0654684114597
phys,sec18plus7,2,13473.7294921875,24.042023591714116,114.33375521889768,2285.877091690658
phys,sec9plus6,6,2682.419921875,67.42874564929885,103.47385103041663,2261.809903820773
phys,sec20,5,26998.978515625,48.732471512558774,119.36694407850273,1837.838058006735
phys,sec9plus6,3,835.5216064453125,24.420521247413962,112.53634495613821,1990.1221194741374
phys,sec15,5,42327.28515625,86.36549956241701,117.55364049901141,1632.9358100387763
phys,sec25,6,57284.34375,106.1056196132755,108.725136391864,1772.740565237833
phys,sec18plus7,1,52279.78125,20.814572305095442,112.88984046072673,3109.0116911558907
phys,sec18plus7,5,2790.985595703125,62.57742992496274,107.36011624670246,1891.7281843246037
phys,sec20,1,47096.671875,11.144098877636484,116.44894125535691,2022.4953323613809
phys,secincr20,5,143425.46875,72.37787921304334,120.1738378653561,1534.127623770688
phys,sec25,4,22384.08984375,65.22412613459996,114.56628419427247,1309.2141518566204
phys,sec25,3,8111.14990234375,28.080064004781295,113.53563432025996,1534.5869258473213
phys,sec25,2,4233.82373046875,28.826724135686487,119.46887635752591,1619.5985017541097
phys,sec15,6,42342.0859375,134.70714505297258,119.22327535144734,1715.3617060587458
phys,secincr20,2,14384.125,54.24462094490761,123.05295276114036,1989.0508532534404
phys,sec20,8,25188.966796875,139.7520992977549,123.5903387747068,2360.499856933533
phys,sec20,3,761.1028442382812,25.97343952477385,120.71536304201106,1626.4041181950306
phys,sec20,6,18561.48828125,63.409983160274095,122.36472027722141,2151.55542105954
phys,sec18plus7,4,3789.54345703125,29.701745448469314,107.2129443182605,1782.322999918064
phys,sec15,1,59321.35546875,16.870723313485147,120.37341113981029,2262.6686902629117
phys,sec15,8,58768.6796875,101.59124757481268,124.08846743306594,1972.9450966497789
phys,sec20,4,6661.59423828125,30.42948480744482,120.04928967443747,1488.5071494875592
phys,sec25,1,42227.50390625,17.52718580120546,114.99041922089368,2181.4049099213335
phys,sec18plus7,8,14637.4697265625,147.9133197769286,114.1910864643005,2319.0959030305967
