Model Type,Noise Steps,Sections,CFG,MSE,MSE_Norm,Var_Diff
nophys,700,9+6,3,133082.28857421875,0.00042126854914386057,64.49820964031483
phys10thbeam,700,15,5,127138.18570861817,0.0004966380195128295,17.531642006699954
nophys,700,18+7,1,30437.182995605468,6.864299311928334e-05,62.93271865036239
nophys,700,9+6,5,248246.0623046875,0.00042195467476631167,80.15291180116313
phys10th,1000,15,6,38107.40881500244,0.0004656112711018068,175.1635350222794
nophys,700,18+7,5,268891.36953125,0.00042220268669552753,59.60969815705041
nophys,850,18+7,7,239711.46567382812,0.0004568002990708919,39.06037699971439
phys10th,1000,18+7,1,14672.141809082032,0.0006408468582776549,34.4663807950177
phys10thbeam,850,45,7,43900.03046569824,0.0006985379903198918,92.88141637332835
phys10thbeam,1000,25,6,20879.75424194336,0.0005184197685593972,178.00516254766472
phys10th,850,18+7,5,97467.1164794922,0.0006411346008462715,144.54833114734862
nophys,700,25,5,207571.2773086548,0.00046071913129708264,75.04781981964243
phys10thbeam,850,45,5,43909.95848693848,0.0005472232505780994,67.44690864640172
phys10th,1000,15,3,27967.389526367188,0.00043731281721193227,45.81587791582514
phys10th,1000,9+6,1,11182.625280761718,0.0006623938220400305,34.34475232196361
phys10th,850,25,5,69769.97189025879,0.00028245581197552385,65.6436614359286
phys10thbeam,700,18+7,7,115942.50949859619,0.0005341518681234447,5.854114330009934
phys10thbeam,850,15,7,12232.301594543456,0.00047433348117920104,160.8845145834767
phys10thbeam,850,9+6,1,11077.402767181396,3.585485887924733e-05,62.449921636229796
nophys,1000,15,1,5866.1974822998045,3.7577104194497224e-05,41.14962034004144
phys10thbeam,1000,15,7,53760.740029907225,0.000858348582914914,187.24244915378523
phys10th,1000,18+7,3,16075.687829589844,0.00044125132244516864,27.02471927146822
nophys,700,15,6,189352.12334976197,0.0005076430725239334,69.15475363271393
phys10thbeam,850,15,3,8264.55576171875,0.0004641261528377072,94.03509835428913
nophys,850,9+6,3,106902.0927734375,0.000423873263389396,62.683300287833276
phys10thbeam,1000,15,1,9120.232861328124,0.0006452815026023017,51.78445186608103
phys10thbeam,850,15,1,11173.334846496582,3.7447892736963695e-05,58.3639194604004
phys10thbeam,1000,9+6,1,7849.793756103516,0.00018189333736700063,50.397057664284695
phys10th,850,25,6,71975.49638900757,0.0005071237186712096,132.20211242710388
phys10th,700,25,6,369182.6429664612,0.0005656635868945159,34.653205096345665
phys10thbeam,1000,25,5,22737.987634277342,0.0004553223321636324,98.70322784924258
phys10th,700,15,1,21548.620556640624,3.677543804769812e-05,96.99874376155492
phys10thbeam,700,9+6,5,232164.0321899414,0.00047130986513366224,10.828576130752941
phys10thbeam,850,25,3,24794.052185058594,0.0006717858578667802,44.77921641427612
