Unnamed: 0,Model Type,Noise Steps,Sections,CFG,FID,MSE,MSE_Norm,Var_Diff
76,phys_spec,1000,15,3,119.8773944204074,27967.389526367188,0.0004373128172119,45.81587791582514
77,phys_spec,1000,15,5,117.1442015863454,74811.87358856201,0.0004584945318129,106.11670067186157
78,phys_spec,1000,15,6,113.99438500538432,38107.40881500244,0.0004656112711018,175.1635350222794
79,phys_spec,1000,15,7,114.06223636641352,17072.6120677948,0.0004711661395049,213.8413342468694
80,phys_spec,1000,9+6,1,123.57250814387558,11182.625280761718,0.00066239382204,34.34475232196361
81,phys_spec,1000,9+6,3,121.32793368076857,12522.522009277343,0.0004388191795897,26.375547258081827
82,phys_spec,1000,9+6,5,118.9069421115587,59562.878860473626,0.0004891876113106,25.329357992501382
83,phys_spec,1000,9+6,6,119.382185111467,65964.56182250977,0.0005342414779988,20.954597746815747
84,phys_spec,1000,9+6,7,119.3161256574209,68347.30175247192,0.0007334070920478,38.70893987228576
85,phys_spec,1000,25,1,121.72793696507792,11011.714074707032,4.1121507547359225e-05,45.66907316493054
86,phys_spec,1000,25,3,117.11994622087477,35400.58511962891,0.0004311477972805,49.04203084551161
87,phys_spec,1000,25,5,107.18629467309748,143905.49324951172,0.0004568781083435,42.37140652670377
88,phys_spec,1000,25,6,107.83692638660304,139026.52454223632,0.0004850566096138,66.30385293443686
89,phys_spec,1000,25,7,105.93820230127572,180979.1612361908,0.0005192152164454,95.42223583924606
90,phys_spec,1000,18+7,1,120.64104146204788,14672.141809082032,0.0006408468582776,34.4663807950177
91,phys_spec,1000,18+7,3,116.15610892356626,16075.687829589844,0.0004412513224451,27.02471927146822
92,phys_spec,1000,18+7,5,119.33948325158585,65660.22462158202,0.0004766061465488,29.41157579904979
93,phys_spec,1000,18+7,6,121.68980807131771,78078.66629829406,0.0005457152537019,20.549377834769047
94,phys_spec,1000,18+7,7,119.90686614552784,105151.84372177123,0.0008627582744111,30.62808934732227
95,phys_spec,1000,45,1,121.12536480085367,8492.64716796875,0.0005555744224238,47.85333584833229
96,phys_spec,1000,45,3,111.04166288984962,20033.7283203125,0.0004323425085658,37.3448184828143
97,phys_spec,1000,45,5,105.9494124976609,109275.10248413084,0.0004490184700443,36.502742485778754
98,phys_spec,1000,45,6,108.29257861190528,147148.66047058106,0.0004529223373538,32.53646288281301
99,phys_spec,1000,45,7,106.8047341242813,198583.46801834105,0.0004834927734918,35.12388672072628
100,phys_spec,700,15,1,119.17297336739296,21548.620556640624,3.677543804769812e-05,96.99874376155492
101,phys_spec,700,15,3,117.75331392404124,147038.54956054688,0.0004024568936983,81.20012734064557
102,phys_spec,700,15,5,111.6589946381756,288398.3978240967,0.0006757489582014,43.2683850580962
103,phys_spec,700,15,6,116.2104927431192,285900.14521942136,0.0006726228300976,39.96763711254837
104,phys_spec,700,15,7,117.06661102135963,303527.89763526915,0.0011202873916772,41.62022017121928
105,phys_spec,700,9+6,1,121.74923814409014,17015.4576171875,3.870227769766643e-05,106.08611070337678
106,phys_spec,700,9+6,3,124.28692299983908,149964.2948852539,0.000690481593665,57.036038969750784
107,phys_spec,700,9+6,5,121.1932929415093,307639.88145446783,0.0004647237024983,43.46250601106848
108,phys_spec,700,9+6,6,117.5605332300822,277239.11721725465,0.0005303826636009,56.15907487282444
109,phys_spec,700,9+6,7,119.51833265954654,349527.0613044739,0.0005638411748805,53.38924719102446
110,phys_spec,700,25,1,126.303712573457,18557.70733642578,3.974088522227248e-05,94.87029429465927
111,phys_spec,700,25,3,120.52676209446152,171521.3974609375,0.0004252739545336,60.10815230673693
112,phys_spec,700,25,5,118.12078348615675,314269.6440002441,0.0004712210749858,37.17074432029107
113,phys_spec,700,25,6,117.80543795066664,369182.6429664612,0.0005656635868945,34.653205096345665
114,phys_spec,700,25,7,119.13363785185128,370997.8545444488,0.0006161771711049,30.091931656411344
115,phys_spec,700,18+7,1,119.80659506718308,14530.235499572756,7.205288038676372e-05,98.0207750522923
116,phys_spec,700,18+7,3,124.66234454695793,122443.30552978515,0.0007594579612486,69.75969720072878
117,phys_spec,700,18+7,5,120.93491861811655,249988.24088134765,0.0004732078006782,70.58540649834791
118,phys_spec,700,18+7,6,119.58918244207312,297926.4283073425,0.0005061184072474,58.88916651436809
119,phys_spec,700,18+7,7,117.33510195798522,301972.9314460755,0.0006136046755273,70.26341011347232
