Physics,Sections,CFG,mse,var_diff,FID
nophysbatch2,sec30,5,2536.690777206421,225.41757889766936,90.32380807484924
nophysbatch2,sec25,3,2662.7989149570467,94.85546078714647,92.11801673360246
nophysbatch2,seccos15,7,4609.226395249367,167.8763812225563,92.91501848853164
nophysbatch2,seccos20,4,3132.793495750427,77.48283035023165,83.46385251258343
nophysbatch2,seccos10,1,245.40403671264647,65.6253486907229,92.93246513938186
nophysbatch2,seccos15,5,4134.890867805481,76.85259326247524,87.00491787359388
nophysbatch2,seccos30,7,4907.965027523041,116.22343678109954,92.54046156347817
nophysbatch2,sec25,7,8362.616416120529,260.1470332430881,96.23375021493484
nophysbatch2,seccos20,8,5051.604527664184,234.29607718953247,101.00011053255881
nophysbatch2,seccos20,1,115.61626119613648,61.168490834132946,90.94501863988049
nophysbatch2,seccos20,7,4786.2134851455685,163.7539444133351,90.6159779501378
nophysbatch2,sec25,4,4244.981794738769,87.60674417132041,89.89080175734667
nophysbatch2,sec25,8,10328.15313975811,366.7856203505041,102.39677649665974
nophysbatch2,seccos25,3,764.1944058179855,101.94475850068817,81.65586105211632
nophysbatch2,sec20,1,181.9867736816406,71.06906240487537,95.31071863260634
nophysbatch2,seccos10,5,5093.951767349243,68.63156605603483,90.49869364449088
nophysbatch2,seccos30,1,109.48989505767823,78.3875514431634,89.7056948658895
nophysbatch2,sec25,1,181.8840404510498,73.60811708016014,94.74337864638441
nophysbatch2,seccos15,8,4936.942876052856,193.26553925288127,104.08522031277683
nophysbatch2,sec15,7,7909.678668403625,345.58042368406905,94.76354507516427
nophysbatch2,seccos20,6,4003.9156387329103,153.3609556339298,85.7661492558291
nophysbatch2,sec30,7,3620.383198213577,299.3009598446873,95.6254052710712
nophysbatch2,sec25,5,6259.2801536560055,112.7348631494431,93.84257993244105
nophysbatch2,sec10,7,5093.387467098236,634.1596841902726,94.2004097906798
nophysbatch2,sec30,3,975.2141166687012,141.07479381922343,87.38479372093046
nophysbatch2,sec30,2,378.1127246856689,99.65712761967757,92.71338997202153
