Physics,Sections,CFG,mse,var_diff
nophys,sec9plus6,1,tensor(7802.8330),95.5319523054456
nophys,sec25,6,tensor(115471.7734),352.196379595603
nophys,sec20,3,tensor(5315.5337),138.98148239334694
nophys,sec18plus7,8,tensor(201904.7344),400.1826310687595
nophys,secincr20,5,tensor(39903.2852),496.16421433533134
nophys,sec20,7,tensor(95038.5703),258.389833296778
nophys,sec25,4,tensor(36369.9023),212.32108004022888
nophys,secincr20,8,tensor(105799.3203),843.017809761895
nophys,sec9plus6,7,tensor(323094.6250),130.05830927392523
nophys,sec9plus6,4,tensor(265468.6875),179.84625900251257
nophys,sec25,5,tensor(112589.8281),326.877811732476
nophys,sec15,2,tensor(7433.0811),104.81006696921628
nophys,sec18plus7,2,tensor(12686.0371),152.4478863458785
nophys,secincr20,6,tensor(176272.9062),633.0225605975473
nophys,secincr20,2,tensor(1526.2671),142.47333794980904
nophys,sec9plus6,6,tensor(298318.9688),106.49249598336598
nophys,sec15,1,tensor(164.2073),62.957206440620695
nophys,sec20,2,tensor(519.2642),98.3612258320763
nophys,sec15,3,tensor(22401.0410),162.50885852826693
nophys,sec18plus7,1,tensor(233.8172),97.46266811072418
nophys,sec18plus7,6,tensor(39974.3789),384.09553351369846
